FRECUENCIA;DIAMES;DIASEMANA;MESTEXTO;AÑO;VALOR
28 FEB 2006;28;martes;febrero;2006;11740,70
01 MAR 2006;1;miércoles;marzo;2006;11902,20
02 MAR 2006;2;jueves;marzo;2006;11809,60
03 MAR 2006;3;viernes;marzo;2006;11755,70
06 MAR 2006;6;lunes;marzo;2006;11759,10
07 MAR 2006;7;martes;marzo;2006;11701,30
08 MAR 2006;8;miércoles;marzo;2006;11629,20
09 MAR 2006;9;jueves;marzo;2006;11699,60
10 MAR 2006;10;viernes;marzo;2006;11771,80
13 MAR 2006;13;lunes;marzo;2006;11845,40
14 MAR 2006;14;martes;marzo;2006;11835,00
15 MAR 2006;15;miércoles;marzo;2006;11845,70
16 MAR 2006;16;jueves;marzo;2006;11862,50
17 MAR 2006;17;viernes;marzo;2006;11872,90
20 MAR 2006;20;lunes;marzo;2006;11922,00
21 MAR 2006;21;martes;marzo;2006;11933,40
22 MAR 2006;22;miércoles;marzo;2006;11951,60
23 MAR 2006;23;jueves;marzo;2006;11906,20
24 MAR 2006;24;viernes;marzo;2006;11954,40
27 MAR 2006;27;lunes;marzo;2006;11839,60
28 MAR 2006;28;martes;marzo;2006;11774,20
29 MAR 2006;29;miércoles;marzo;2006;11817,30
30 MAR 2006;30;jueves;marzo;2006;11869,80
31 MAR 2006;31;viernes;marzo;2006;11854,30
03 ABR 2006;3;lunes;abril;2006;11920,00
04 ABR 2006;4;martes;abril;2006;11893,80
05 ABR 2006;5;miércoles;abril;2006;11916,40
06 ABR 2006;6;jueves;abril;2006;11908,20
07 ABR 2006;7;viernes;abril;2006;11816,70
10 ABR 2006;10;lunes;abril;2006;11817,50
11 ABR 2006;11;martes;abril;2006;11674,60
12 ABR 2006;12;miércoles;abril;2006;11601,70
13 ABR 2006;13;jueves;abril;2006;11609,40
14 ABR 2006;14;viernes;abril;2006;-
17 ABR 2006;17;lunes;abril;2006;-
18 ABR 2006;18;martes;abril;2006;11585,00
19 ABR 2006;19;miércoles;abril;2006;11720,10
20 ABR 2006;20;jueves;abril;2006;11782,60
21 ABR 2006;21;viernes;abril;2006;11913,80
24 ABR 2006;24;lunes;abril;2006;11901,30
25 ABR 2006;25;martes;abril;2006;11920,50
26 ABR 2006;26;miércoles;abril;2006;11925,60
27 ABR 2006;27;jueves;abril;2006;11891,30
28 ABR 2006;28;viernes;abril;2006;11892,50
01 MAY 2006;1;lunes;mayo;2006;-
02 MAY 2006;2;martes;mayo;2006;11929,30
03 MAY 2006;3;miércoles;mayo;2006;11876,50
04 MAY 2006;4;jueves;mayo;2006;11928,50
05 MAY 2006;5;viernes;mayo;2006;12034,40
08 MAY 2006;8;lunes;mayo;2006;12067,70
09 MAY 2006;9;martes;mayo;2006;12083,30
10 MAY 2006;10;miércoles;mayo;2006;12064,80
11 MAY 2006;11;jueves;mayo;2006;12008,40
12 MAY 2006;12;viernes;mayo;2006;11710,20
15 MAY 2006;15;lunes;mayo;2006;11587,70
16 MAY 2006;16;martes;mayo;2006;11595,90
17 MAY 2006;17;miércoles;mayo;2006;11248,20
18 MAY 2006;18;jueves;mayo;2006;11210,30
19 MAY 2006;19;viernes;mayo;2006;11270,80
22 MAY 2006;22;lunes;mayo;2006;10950,20
23 MAY 2006;23;martes;mayo;2006;11160,70
24 MAY 2006;24;miércoles;mayo;2006;11047,20
25 MAY 2006;25;jueves;mayo;2006;11208,20
26 MAY 2006;26;viernes;mayo;2006;11414,80
29 MAY 2006;29;lunes;mayo;2006;11371,40
30 MAY 2006;30;martes;mayo;2006;11165,60
31 MAY 2006;31;miércoles;mayo;2006;11340,50
01 JUN 2006;1;jueves;junio;2006;11346,40
02 JUN 2006;2;viernes;junio;2006;11360,70
05 JUN 2006;5;lunes;junio;2006;11287,80
06 JUN 2006;6;martes;junio;2006;11112,00
07 JUN 2006;7;miércoles;junio;2006;11224,70
08 JUN 2006;8;jueves;junio;2006;10952,60
09 JUN 2006;9;viernes;junio;2006;11098,20
12 JUN 2006;12;lunes;junio;2006;11031,40
13 JUN 2006;13;martes;junio;2006;10797,50
14 JUN 2006;14;miércoles;junio;2006;10852,00
15 JUN 2006;15;jueves;junio;2006;11036,30
16 JUN 2006;16;viernes;junio;2006;10962,80
19 JUN 2006;19;lunes;junio;2006;11056,80
20 JUN 2006;20;martes;junio;2006;11103,50
21 JUN 2006;21;miércoles;junio;2006;11155,40
22 JUN 2006;22;jueves;junio;2006;11246,30
23 JUN 2006;23;viernes;junio;2006;11274,20
26 JUN 2006;26;lunes;junio;2006;11276,60
27 JUN 2006;27;martes;junio;2006;11214,50
28 JUN 2006;28;miércoles;junio;2006;11188,80
29 JUN 2006;29;jueves;junio;2006;11386,60
30 JUN 2006;30;viernes;junio;2006;11548,10
03 JUL 2006;3;lunes;julio;2006;11569,60
04 JUL 2006;4;martes;julio;2006;11603,10
05 JUL 2006;5;miércoles;julio;2006;11521,20
06 JUL 2006;6;jueves;julio;2006;11636,80
07 JUL 2006;7;viernes;julio;2006;11626,70
10 JUL 2006;10;lunes;julio;2006;11649,50
11 JUL 2006;11;martes;julio;2006;11535,20
12 JUL 2006;12;miércoles;julio;2006;11537,30
13 JUL 2006;13;jueves;julio;2006;11375,00
14 JUL 2006;14;viernes;julio;2006;11240,20
17 JUL 2006;17;lunes;julio;2006;11179,40
18 JUL 2006;18;martes;julio;2006;11161,00
19 JUL 2006;19;miércoles;julio;2006;11425,70
20 JUL 2006;20;jueves;julio;2006;11446,40
21 JUL 2006;21;viernes;julio;2006;11333,90
24 JUL 2006;24;lunes;julio;2006;11561,60
25 JUL 2006;25;martes;julio;2006;11611,90
26 JUL 2006;26;miércoles;julio;2006;11635,20
27 JUL 2006;27;jueves;julio;2006;11768,40
28 JUL 2006;28;viernes;julio;2006;11887,40
31 JUL 2006;31;lunes;julio;2006;11818,00
01 AGO 2006;1;martes;agosto;2006;11706,60
02 AGO 2006;2;miércoles;agosto;2006;11863,00
03 AGO 2006;3;jueves;agosto;2006;11800,70
04 AGO 2006;4;viernes;agosto;2006;11934,10
07 AGO 2006;7;lunes;agosto;2006;11790,50
08 AGO 2006;8;martes;agosto;2006;11834,00
09 AGO 2006;9;miércoles;agosto;2006;11911,60
10 AGO 2006;10;jueves;agosto;2006;11810,40
11 AGO 2006;11;viernes;agosto;2006;11777,30
14 AGO 2006;14;lunes;agosto;2006;11903,30
15 AGO 2006;15;martes;agosto;2006;11991,30
16 AGO 2006;16;miércoles;agosto;2006;12045,90
17 AGO 2006;17;jueves;agosto;2006;12087,80
18 AGO 2006;18;viernes;agosto;2006;12067,80
21 AGO 2006;21;lunes;agosto;2006;12054,90
22 AGO 2006;22;martes;agosto;2006;12080,80
23 AGO 2006;23;miércoles;agosto;2006;12012,70
24 AGO 2006;24;jueves;agosto;2006;12056,00
25 AGO 2006;25;viernes;agosto;2006;12042,90
28 AGO 2006;28;lunes;agosto;2006;12116,60
29 AGO 2006;29;martes;agosto;2006;12146,60
30 AGO 2006;30;miércoles;agosto;2006;12171,90
31 AGO 2006;31;jueves;agosto;2006;12144,70
01 SEP 2006;1;viernes;septiembre;2006;12193,00
04 SEP 2006;4;lunes;septiembre;2006;12278,60
05 SEP 2006;5;martes;septiembre;2006;12212,40
06 SEP 2006;6;miércoles;septiembre;2006;12102,90
07 SEP 2006;7;jueves;septiembre;2006;12014,50
08 SEP 2006;8;viernes;septiembre;2006;12081,70
11 SEP 2006;11;lunes;septiembre;2006;12055,20
12 SEP 2006;12;martes;septiembre;2006;12164,90
13 SEP 2006;13;miércoles;septiembre;2006;12206,90
14 SEP 2006;14;jueves;septiembre;2006;12214,50
15 SEP 2006;15;viernes;septiembre;2006;12278,40
18 SEP 2006;18;lunes;septiembre;2006;12287,80
19 SEP 2006;19;martes;septiembre;2006;12240,90
20 SEP 2006;20;miércoles;septiembre;2006;12426,10
21 SEP 2006;21;jueves;septiembre;2006;12476,90
22 SEP 2006;22;viernes;septiembre;2006;12389,50
25 SEP 2006;25;lunes;septiembre;2006;12393,30
26 SEP 2006;26;martes;septiembre;2006;12617,40
27 SEP 2006;27;miércoles;septiembre;2006;12950,00
28 SEP 2006;28;jueves;septiembre;2006;12930,20
29 SEP 2006;29;viernes;septiembre;2006;12934,70
02 OCT 2006;2;lunes;octubre;2006;12915,90
03 OCT 2006;3;martes;octubre;2006;12860,50
04 OCT 2006;4;miércoles;octubre;2006;12982,60
05 OCT 2006;5;jueves;octubre;2006;13116,40
06 OCT 2006;6;viernes;octubre;2006;13152,10
09 OCT 2006;9;lunes;octubre;2006;13143,50
10 OCT 2006;10;martes;octubre;2006;13234,50
11 OCT 2006;11;miércoles;octubre;2006;13260,90
12 OCT 2006;12;jueves;octubre;2006;13406,90
13 OCT 2006;13;viernes;octubre;2006;13454,50
16 OCT 2006;16;lunes;octubre;2006;13476,60
17 OCT 2006;17;martes;octubre;2006;13245,30
18 OCT 2006;18;miércoles;octubre;2006;13398,20
19 OCT 2006;19;jueves;octubre;2006;13463,70
20 OCT 2006;20;viernes;octubre;2006;13558,00
23 OCT 2006;23;lunes;octubre;2006;13620,70
24 OCT 2006;24;martes;octubre;2006;13579,80
25 OCT 2006;25;miércoles;octubre;2006;13636,30
26 OCT 2006;26;jueves;octubre;2006;13633,10
27 OCT 2006;27;viernes;octubre;2006;13725,80
30 OCT 2006;30;lunes;octubre;2006;13713,20
31 OCT 2006;31;martes;octubre;2006;13753,00
01 NOV 2006;1;miércoles;noviembre;2006;13772,60
02 NOV 2006;2;jueves;noviembre;2006;13719,30
03 NOV 2006;3;viernes;noviembre;2006;13794,70
06 NOV 2006;6;lunes;noviembre;2006;13968,50
07 NOV 2006;7;martes;noviembre;2006;14058,30
08 NOV 2006;8;miércoles;noviembre;2006;14090,40
09 NOV 2006;9;jueves;noviembre;2006;14111,40
10 NOV 2006;10;viernes;noviembre;2006;14002,40
13 NOV 2006;13;lunes;noviembre;2006;14091,90
14 NOV 2006;14;martes;noviembre;2006;14113,20
15 NOV 2006;15;miércoles;noviembre;2006;14174,30
16 NOV 2006;16;jueves;noviembre;2006;14241,30
17 NOV 2006;17;viernes;noviembre;2006;14170,00
20 NOV 2006;20;lunes;noviembre;2006;14256,00
21 NOV 2006;21;martes;noviembre;2006;14228,10
22 NOV 2006;22;miércoles;noviembre;2006;14294,60
23 NOV 2006;23;jueves;noviembre;2006;14284,40
24 NOV 2006;24;viernes;noviembre;2006;14088,10
27 NOV 2006;27;lunes;noviembre;2006;13786,80
28 NOV 2006;28;martes;noviembre;2006;13732,10
29 NOV 2006;29;miércoles;noviembre;2006;13978,00
30 NOV 2006;30;jueves;noviembre;2006;13849,30
01 DIC 2006;1;viernes;diciembre;2006;13660,60
04 DIC 2006;4;lunes;diciembre;2006;13846,40
05 DIC 2006;5;martes;diciembre;2006;14032,50
06 DIC 2006;6;miércoles;diciembre;2006;14007,10
07 DIC 2006;7;jueves;diciembre;2006;14062,80
08 DIC 2006;8;viernes;diciembre;2006;14076,60
11 DIC 2006;11;lunes;diciembre;2006;14209,60
12 DIC 2006;12;martes;diciembre;2006;14200,20
13 DIC 2006;13;miércoles;diciembre;2006;14327,50
14 DIC 2006;14;jueves;diciembre;2006;14351,90
15 DIC 2006;15;viernes;diciembre;2006;14387,60
18 DIC 2006;18;lunes;diciembre;2006;14317,50
19 DIC 2006;19;martes;diciembre;2006;14176,80
20 DIC 2006;20;miércoles;diciembre;2006;14201,70
21 DIC 2006;21;jueves;diciembre;2006;14150,40
22 DIC 2006;22;viernes;diciembre;2006;14066,10
25 DIC 2006;25;lunes;diciembre;2006;-
26 DIC 2006;26;martes;diciembre;2006;-
27 DIC 2006;27;miércoles;diciembre;2006;14199,40
28 DIC 2006;28;jueves;diciembre;2006;14160,80
29 DIC 2006;29;viernes;diciembre;2006;14146,50
01 ENE 2007;1;lunes;enero;2007;-
02 ENE 2007;2;martes;enero;2007;14364,40
03 ENE 2007;3;miércoles;enero;2007;14375,10
04 ENE 2007;4;jueves;enero;2007;14382,40
05 ENE 2007;5;viernes;enero;2007;14304,70
08 ENE 2007;8;lunes;enero;2007;14322,30
09 ENE 2007;9;martes;enero;2007;14311,50
10 ENE 2007;10;miércoles;enero;2007;14116,10
11 ENE 2007;11;jueves;enero;2007;14328,80
12 ENE 2007;12;viernes;enero;2007;14368,20
15 ENE 2007;15;lunes;enero;2007;14416,70
16 ENE 2007;16;martes;enero;2007;14355,60
17 ENE 2007;17;miércoles;enero;2007;14295,00
18 ENE 2007;18;jueves;enero;2007;14265,30
19 ENE 2007;19;viernes;enero;2007;14397,90
22 ENE 2007;22;lunes;enero;2007;14359,70
23 ENE 2007;23;martes;enero;2007;14368,60
24 ENE 2007;24;miércoles;enero;2007;14540,70
25 ENE 2007;25;jueves;enero;2007;14537,30
26 ENE 2007;26;viernes;enero;2007;14415,40
29 ENE 2007;29;lunes;enero;2007;14507,00
30 ENE 2007;30;martes;enero;2007;14553,40
31 ENE 2007;31;miércoles;enero;2007;14553,20
01 FEB 2007;1;jueves;febrero;2007;14571,50
02 FEB 2007;2;viernes;febrero;2007;14631,20
05 FEB 2007;5;lunes;febrero;2007;14616,70
06 FEB 2007;6;martes;febrero;2007;14703,20
07 FEB 2007;7;miércoles;febrero;2007;14854,60
08 FEB 2007;8;jueves;febrero;2007;14826,00
09 FEB 2007;9;viernes;febrero;2007;14875,50
12 FEB 2007;12;lunes;febrero;2007;14769,00
13 FEB 2007;13;martes;febrero;2007;14824,60
14 FEB 2007;14;miércoles;febrero;2007;14905,70
15 FEB 2007;15;jueves;febrero;2007;14876,90
16 FEB 2007;16;viernes;febrero;2007;14851,20
19 FEB 2007;19;lunes;febrero;2007;14915,80
20 FEB 2007;20;martes;febrero;2007;14886,10
21 FEB 2007;21;miércoles;febrero;2007;14788,80
22 FEB 2007;22;jueves;febrero;2007;14791,30
23 FEB 2007;23;viernes;febrero;2007;14767,10
26 FEB 2007;26;lunes;febrero;2007;14856,10
27 FEB 2007;27;martes;febrero;2007;14408,30
28 FEB 2007;28;miércoles;febrero;2007;14248,40
01 MAR 2007;1;jueves;marzo;2007;14064,90
02 MAR 2007;2;viernes;marzo;2007;13962,20
05 MAR 2007;5;lunes;marzo;2007;13749,10
06 MAR 2007;6;martes;marzo;2007;13825,90
07 MAR 2007;7;miércoles;marzo;2007;13912,70
08 MAR 2007;8;jueves;marzo;2007;14194,00
09 MAR 2007;9;viernes;marzo;2007;14257,20
12 MAR 2007;12;lunes;marzo;2007;14146,50
13 MAR 2007;13;martes;marzo;2007;13982,90
14 MAR 2007;14;miércoles;marzo;2007;13602,40
15 MAR 2007;15;jueves;marzo;2007;13940,40
16 MAR 2007;16;viernes;marzo;2007;13977,40
19 MAR 2007;19;lunes;marzo;2007;14250,20
20 MAR 2007;20;martes;marzo;2007;14323,20
21 MAR 2007;21;miércoles;marzo;2007;14310,50
22 MAR 2007;22;jueves;marzo;2007;14490,10
23 MAR 2007;23;viernes;marzo;2007;14545,70
26 MAR 2007;26;lunes;marzo;2007;14469,60
27 MAR 2007;27;martes;marzo;2007;14536,80
28 MAR 2007;28;miércoles;marzo;2007;14483,00
29 MAR 2007;29;jueves;marzo;2007;14605,30
30 MAR 2007;30;viernes;marzo;2007;14641,70
02 ABR 2007;2;lunes;abril;2007;14730,80
03 ABR 2007;3;martes;abril;2007;14953,20
04 ABR 2007;4;miércoles;abril;2007;14943,10
05 ABR 2007;5;jueves;abril;2007;14974,90
06 ABR 2007;6;viernes;abril;2007;-
09 ABR 2007;9;lunes;abril;2007;-
10 ABR 2007;10;martes;abril;2007;15005,50
11 ABR 2007;11;miércoles;abril;2007;14997,60
12 ABR 2007;12;jueves;abril;2007;14883,00
13 ABR 2007;13;viernes;abril;2007;14965,30
16 ABR 2007;16;lunes;abril;2007;15020,80
17 ABR 2007;17;martes;abril;2007;14966,00
18 ABR 2007;18;miércoles;abril;2007;14870,40
19 ABR 2007;19;jueves;abril;2007;14821,70
20 ABR 2007;20;viernes;abril;2007;15080,90
23 ABR 2007;23;lunes;abril;2007;14987,10
24 ABR 2007;24;martes;abril;2007;14578,70
25 ABR 2007;25;miércoles;abril;2007;14620,40
26 ABR 2007;26;jueves;abril;2007;14611,00
27 ABR 2007;27;viernes;abril;2007;14403,60
30 ABR 2007;30;lunes;abril;2007;14374,60
01 MAY 2007;1;martes;mayo;2007;-
02 MAY 2007;2;miércoles;mayo;2007;14416,90
03 MAY 2007;3;jueves;mayo;2007;14395,60
04 MAY 2007;4;viernes;mayo;2007;14620,30
07 MAY 2007;7;lunes;mayo;2007;14672,10
08 MAY 2007;8;martes;mayo;2007;14556,70
09 MAY 2007;9;miércoles;mayo;2007;14609,40
10 MAY 2007;10;jueves;mayo;2007;14575,40
11 MAY 2007;11;viernes;mayo;2007;14736,30
14 MAY 2007;14;lunes;mayo;2007;14686,00
15 MAY 2007;15;martes;mayo;2007;14824,20
16 MAY 2007;16;miércoles;mayo;2007;14918,80
17 MAY 2007;17;jueves;mayo;2007;14968,20
18 MAY 2007;18;viernes;mayo;2007;15068,40
21 MAY 2007;21;lunes;mayo;2007;15055,50
22 MAY 2007;22;martes;mayo;2007;15070,90
23 MAY 2007;23;miércoles;mayo;2007;15223,90
24 MAY 2007;24;jueves;mayo;2007;15094,90
25 MAY 2007;25;viernes;mayo;2007;15053,20
28 MAY 2007;28;lunes;mayo;2007;15124,60
29 MAY 2007;29;martes;mayo;2007;15188,60
30 MAY 2007;30;miércoles;mayo;2007;15137,30
31 MAY 2007;31;jueves;mayo;2007;15329,40
01 JUN 2007;1;viernes;junio;2007;15501,50
04 JUN 2007;4;lunes;junio;2007;15414,30
05 JUN 2007;5;martes;junio;2007;15314,90
06 JUN 2007;6;miércoles;junio;2007;14928,80
07 JUN 2007;7;jueves;junio;2007;14725,90
08 JUN 2007;8;viernes;junio;2007;14816,50
11 JUN 2007;11;lunes;junio;2007;14940,60
12 JUN 2007;12;martes;junio;2007;14764,30
13 JUN 2007;13;miércoles;junio;2007;14829,80
14 JUN 2007;14;jueves;junio;2007;15078,40
15 JUN 2007;15;viernes;junio;2007;15252,10
18 JUN 2007;18;lunes;junio;2007;15103,60
19 JUN 2007;19;martes;junio;2007;15000,20
20 JUN 2007;20;miércoles;junio;2007;15035,70
21 JUN 2007;21;jueves;junio;2007;14882,40
22 JUN 2007;22;viernes;junio;2007;14784,90
25 JUN 2007;25;lunes;junio;2007;14848,30
26 JUN 2007;26;martes;junio;2007;14755,20
27 JUN 2007;27;miércoles;junio;2007;14681,70
28 JUN 2007;28;jueves;junio;2007;14819,90
29 JUN 2007;29;viernes;junio;2007;14892,00
02 JUL 2007;2;lunes;julio;2007;14804,70
03 JUL 2007;3;martes;julio;2007;14869,40
04 JUL 2007;4;miércoles;julio;2007;14989,70
05 JUL 2007;5;jueves;julio;2007;14907,40
06 JUL 2007;6;viernes;julio;2007;15058,30
09 JUL 2007;9;lunes;julio;2007;14974,70
10 JUL 2007;10;martes;julio;2007;14823,90
11 JUL 2007;11;miércoles;julio;2007;14766,20
12 JUL 2007;12;jueves;julio;2007;14941,80
13 JUL 2007;13;viernes;julio;2007;15023,50
16 JUL 2007;16;lunes;julio;2007;15110,40
17 JUL 2007;17;martes;julio;2007;15153,80
18 JUL 2007;18;miércoles;julio;2007;15058,60
19 JUL 2007;19;jueves;julio;2007;15207,30
20 JUL 2007;20;viernes;julio;2007;14930,10
23 JUL 2007;23;lunes;julio;2007;15056,70
24 JUL 2007;24;martes;julio;2007;14913,30
25 JUL 2007;25;miércoles;julio;2007;14937,70
26 JUL 2007;26;jueves;julio;2007;14540,40
27 JUL 2007;27;viernes;julio;2007;14587,50
30 JUL 2007;30;lunes;julio;2007;14507,90
31 JUL 2007;31;martes;julio;2007;14802,40
01 AGO 2007;1;miércoles;agosto;2007;14595,70
02 AGO 2007;2;jueves;agosto;2007;14678,60
03 AGO 2007;3;viernes;agosto;2007;14534,30
06 AGO 2007;6;lunes;agosto;2007;14432,10
07 AGO 2007;7;martes;agosto;2007;14652,90
08 AGO 2007;8;miércoles;agosto;2007;15004,20
09 AGO 2007;9;jueves;agosto;2007;14838,30
10 AGO 2007;10;viernes;agosto;2007;14453,90
13 AGO 2007;13;lunes;agosto;2007;14731,80
14 AGO 2007;14;martes;agosto;2007;14553,10
15 AGO 2007;15;miércoles;agosto;2007;14520,50
16 AGO 2007;16;jueves;agosto;2007;13979,70
17 AGO 2007;17;viernes;agosto;2007;14237,50
20 AGO 2007;20;lunes;agosto;2007;14269,10
21 AGO 2007;21;martes;agosto;2007;14239,80
22 AGO 2007;22;miércoles;agosto;2007;14359,20
23 AGO 2007;23;jueves;agosto;2007;14292,50
24 AGO 2007;24;viernes;agosto;2007;14334,40
27 AGO 2007;27;lunes;agosto;2007;14305,50
28 AGO 2007;28;martes;agosto;2007;14124,80
29 AGO 2007;29;miércoles;agosto;2007;14183,60
30 AGO 2007;30;jueves;agosto;2007;14313,40
31 AGO 2007;31;viernes;agosto;2007;14479,80
03 SEP 2007;3;lunes;septiembre;2007;14546,90
04 SEP 2007;4;martes;septiembre;2007;14590,10
05 SEP 2007;5;miércoles;septiembre;2007;14240,10
06 SEP 2007;6;jueves;septiembre;2007;14198,40
07 SEP 2007;7;viernes;septiembre;2007;13873,40
10 SEP 2007;10;lunes;septiembre;2007;13726,30
11 SEP 2007;11;martes;septiembre;2007;13965,50
12 SEP 2007;12;miércoles;septiembre;2007;13980,40
13 SEP 2007;13;jueves;septiembre;2007;14077,80
14 SEP 2007;14;viernes;septiembre;2007;13861,00
17 SEP 2007;17;lunes;septiembre;2007;13696,90
18 SEP 2007;18;martes;septiembre;2007;14042,00
19 SEP 2007;19;miércoles;septiembre;2007;14494,80
20 SEP 2007;20;jueves;septiembre;2007;14427,10
21 SEP 2007;21;viernes;septiembre;2007;14450,60
24 SEP 2007;24;lunes;septiembre;2007;14494,70
25 SEP 2007;25;martes;septiembre;2007;14311,90
26 SEP 2007;26;miércoles;septiembre;2007;14513,70
27 SEP 2007;27;jueves;septiembre;2007;14581,60
28 SEP 2007;28;viernes;septiembre;2007;14576,50
01 OCT 2007;1;lunes;octubre;2007;14603,00
02 OCT 2007;2;martes;octubre;2007;14790,00
03 OCT 2007;3;miércoles;octubre;2007;14783,80
04 OCT 2007;4;jueves;octubre;2007;14718,00
05 OCT 2007;5;viernes;octubre;2007;14892,10
08 OCT 2007;8;lunes;octubre;2007;14809,00
09 OCT 2007;9;martes;octubre;2007;14862,70
10 OCT 2007;10;miércoles;octubre;2007;14863,80
11 OCT 2007;11;jueves;octubre;2007;15100,00
12 OCT 2007;12;viernes;octubre;2007;15261,30
15 OCT 2007;15;lunes;octubre;2007;15187,50
16 OCT 2007;16;martes;octubre;2007;15279,70
17 OCT 2007;17;miércoles;octubre;2007;15430,50
18 OCT 2007;18;jueves;octubre;2007;15507,10
19 OCT 2007;19;viernes;octubre;2007;15529,70
22 OCT 2007;22;lunes;octubre;2007;15327,80
23 OCT 2007;23;martes;octubre;2007;15429,60
24 OCT 2007;24;miércoles;octubre;2007;15231,30
25 OCT 2007;25;jueves;octubre;2007;15386,00
26 OCT 2007;26;viernes;octubre;2007;15603,90
29 OCT 2007;29;lunes;octubre;2007;15738,10
30 OCT 2007;30;martes;octubre;2007;15782,50
31 OCT 2007;31;miércoles;octubre;2007;15890,50
01 NOV 2007;1;jueves;noviembre;2007;15759,60
02 NOV 2007;2;viernes;noviembre;2007;15823,70
05 NOV 2007;5;lunes;noviembre;2007;15825,90
06 NOV 2007;6;martes;noviembre;2007;15895,40
07 NOV 2007;7;miércoles;noviembre;2007;15841,90
08 NOV 2007;8;jueves;noviembre;2007;15945,70
09 NOV 2007;9;viernes;noviembre;2007;15731,20
12 NOV 2007;12;lunes;noviembre;2007;15774,70
13 NOV 2007;13;martes;noviembre;2007;15814,80
14 NOV 2007;14;miércoles;noviembre;2007;15808,90
15 NOV 2007;15;jueves;noviembre;2007;15725,80
16 NOV 2007;16;viernes;noviembre;2007;15769,00
19 NOV 2007;19;lunes;noviembre;2007;15539,30
20 NOV 2007;20;martes;noviembre;2007;15700,00
21 NOV 2007;21;miércoles;noviembre;2007;15364,50
22 NOV 2007;22;jueves;noviembre;2007;15317,10
23 NOV 2007;23;viernes;noviembre;2007;15392,20
26 NOV 2007;26;lunes;noviembre;2007;15330,20
27 NOV 2007;27;martes;noviembre;2007;15315,60
28 NOV 2007;28;miércoles;noviembre;2007;15566,50
29 NOV 2007;29;jueves;noviembre;2007;15656,60
30 NOV 2007;30;viernes;noviembre;2007;15759,90
03 DIC 2007;3;lunes;diciembre;2007;15735,00
04 DIC 2007;4;martes;diciembre;2007;15708,20
05 DIC 2007;5;miércoles;diciembre;2007;15802,20
06 DIC 2007;6;jueves;diciembre;2007;15695,90
07 DIC 2007;7;viernes;diciembre;2007;15819,60
10 DIC 2007;10;lunes;diciembre;2007;15832,70
11 DIC 2007;11;martes;diciembre;2007;15890,50
12 DIC 2007;12;miércoles;diciembre;2007;15860,00
13 DIC 2007;13;jueves;diciembre;2007;15499,20
14 DIC 2007;14;viernes;diciembre;2007;15575,70
17 DIC 2007;17;lunes;diciembre;2007;15318,50
18 DIC 2007;18;martes;diciembre;2007;15282,10
19 DIC 2007;19;miércoles;diciembre;2007;15177,10
20 DIC 2007;20;jueves;diciembre;2007;15140,20
21 DIC 2007;21;viernes;diciembre;2007;15289,30
24 DIC 2007;24;lunes;diciembre;2007;-
25 DIC 2007;25;martes;diciembre;2007;-
26 DIC 2007;26;miércoles;diciembre;2007;-
27 DIC 2007;27;jueves;diciembre;2007;15256,20
28 DIC 2007;28;viernes;diciembre;2007;15182,30
31 DIC 2007;31;lunes;diciembre;2007;-
01 ENE 2008;1;martes;enero;2008;-
02 ENE 2008;2;miércoles;enero;2008;15002,50
03 ENE 2008;3;jueves;enero;2008;14856,50
04 ENE 2008;4;viernes;enero;2008;14602,30
07 ENE 2008;7;lunes;enero;2008;14667,00
08 ENE 2008;8;martes;enero;2008;14670,50
09 ENE 2008;9;miércoles;enero;2008;14603,50
10 ENE 2008;10;jueves;enero;2008;14524,00
11 ENE 2008;11;viernes;enero;2008;14458,00
14 ENE 2008;14;lunes;enero;2008;14431,90
15 ENE 2008;15;martes;enero;2008;13945,20
16 ENE 2008;16;miércoles;enero;2008;13817,10
17 ENE 2008;17;jueves;enero;2008;13775,60
18 ENE 2008;18;viernes;enero;2008;13655,40
21 ENE 2008;21;lunes;enero;2008;12625,80
22 ENE 2008;22;martes;enero;2008;12839,70
23 ENE 2008;23;miércoles;enero;2008;12254,60
24 ENE 2008;24;jueves;enero;2008;13106,70
25 ENE 2008;25;viernes;enero;2008;13141,10
28 ENE 2008;28;lunes;enero;2008;13026,70
29 ENE 2008;29;martes;enero;2008;13246,60
30 ENE 2008;30;miércoles;enero;2008;13217,10
31 ENE 2008;31;jueves;enero;2008;13229,00
01 FEB 2008;1;viernes;febrero;2008;13494,70
04 FEB 2008;4;lunes;febrero;2008;13515,70
05 FEB 2008;5;martes;febrero;2008;12814,70
06 FEB 2008;6;miércoles;febrero;2008;13037,30
07 FEB 2008;7;jueves;febrero;2008;12889,50
08 FEB 2008;8;viernes;febrero;2008;12934,80
11 FEB 2008;11;lunes;febrero;2008;12818,80
12 FEB 2008;12;martes;febrero;2008;13254,70
13 FEB 2008;13;miércoles;febrero;2008;13266,70
14 FEB 2008;14;jueves;febrero;2008;13313,20
15 FEB 2008;15;viernes;febrero;2008;13073,90
18 FEB 2008;18;lunes;febrero;2008;13312,20
19 FEB 2008;19;martes;febrero;2008;13269,70
20 FEB 2008;20;miércoles;febrero;2008;13080,40
21 FEB 2008;21;jueves;febrero;2008;13173,00
22 FEB 2008;22;viernes;febrero;2008;13017,50
25 FEB 2008;25;lunes;febrero;2008;13156,60
